fold,cluster,mae,mse,r2
1,full,0.08903669077143414,0.016120667380536777,0.8578678143029909
2,full,0.07533848524073383,0.012077707827844227,0.9250909572289201
3,full,0.06865338416988488,0.011374091391909525,0.9279260477499996
4,full,0.09922828020094958,0.018626428563470313,0.8588139537409804
