fold,cluster,mae,mse,r2
1,confident,0.07274189047453694,0.009614300897994305,0.3202423327074161
1,unconfident,0.07285488381081877,0.010293851768828827,0.5315289443377424
2,confident,0.062349620626392675,0.006380301604700738,0.46091375147190394
2,unconfident,0.04888792317831418,0.006025318179601182,0.5393201865595059
3,confident,0.06914578685400602,0.00855254641843037,0.481553760763908
3,unconfident,0.03691040706695204,0.0039762600432006615,0.76582101996866
4,confident,0.07265854267958437,0.00929245594037782,0.485796383052405
4,unconfident,0.06273881116193573,0.007383952580900878,0.6614883865807966
